"G.U.Pope & Co - Commentary",Transliteration,T.Kannan,"Yogi Shuddhananda Bharatiyar","G.U.Pope & Co - Poems","Ramachandra Dikshitar","Satguru Sivaya Subramuniyaswami","Various Translators",Dinamalar
"Anputaimai Aandra Kutippiraththal
Ivvirantum
Panputaimai Ennum Vazhakku","Humanity and noble birth 
Develop courtesy and moral worth.","Benevolence and high born dignity,
These two are beaten paths of courtesy.","Loving kindness and birth in a good family— these two are said to confer on one a gracious manner.","Courtesy springs from love and noble lineage.","Kindness and exalted birth: these two
Constitute the demeanor called courtesy.","Affectionateness and birth in a good family, these two constitute what is called a proper behaviour to all.","Kindness and exalted birth: these two
Constitute the demeanor called courtesy.","A kind heart and good heredity are considered To make the quality of being well-mannered."
"Physical resemblance makes not people similar Similar qualities make them similar.","Uruppoththal Makkaloppu Andraal
Veruththakka
Panpoththal Oppadhaam Oppu","Likeness in limbs is not likeness 
It's likeness in kind courteousness.","Mere physical features do not rank with men but only courtesy makes them ascend the scale.","Men are not one because their members seem alike to outward view;
Similitude of kindred quality makes likeness true.","Resemblance among humans is not that their bodies look alike. Real similarities come from similar traits of courtesy.","What binds humanity together is not physical proximity,
But that binding of courteousness.","Resemblance of bodies is no resemblance of souls; true resemblance is the resemblance of qualities that attract.","What binds humanity together is not
physical proximity, But that binding of courteousness."
"The world applauds the conduct of those
Who help with impartiality and generosity.","Being likeable and righteous, they serve all- Their good character the world shall extol.","Nayanotu Nandri Purindha
Payanutaiyaar
Panpupaa Raattum Ulaku","The world respects the courtesy of those who are just and willing to do good.","The world applauds those helpful men 
Whose actions are just and benign.","Of men of fruitful life, who kindly benefits dispense,
The world unites to praise the 'noble excellence'","The world commends the civility of those who combine fruitful effort and kindly benevolence.","The world applauds the conduct of those
Who help with impartiality and generosity.","The world applauds the character of those whose usefulness results from their equity and charity."
"Mockery hurts even in jest, and hence the
considerate Are courteous even to their foes.","One who discerns others’ nature and sees merit in foes, Won’t deride others for a laugh that causes many woes.","Do not mock at others even in a sportive mood. There is virtue in being courteous even to a foe.","Nakaiyullum Innaa Thikazhchchi
Pakaiyullum
Panpula Paatarivaar Maattu","The courteous don't even foes detest 
For contempt offends even in jest.","Contempt is evil though in sport. They sho man's nature know,
E'en in their warth, a courteous mind will show.","Disparaging words are painful even when uttered in jest. Hence, knowers of human nature are courteous even to enemies.","Reproach is painful to one even in sport; those (therefore) who know the nature of others exhibit (pleasing) qualities even when they are hated.","Mockery hurts even in jest, and hence the considerate
Are courteous even to their foes."
"The world is built on the wisdom of the noble and the good; but for them the entire world would be a heap of ruins.","The world goes on because of civilized
men. Without them it would collapse into dust.","The world exists because of courteous people Else it’ll perish by sinking in its own soil.","Panputaiyaarp Pattuntu Ulakam
Adhuindrel
Manpukku Maaivadhu Man","The world rests with the mannered best
Or it crumbles and falls to dust.","The world abides; for 'worthy' men its weight sustain.
Were it not so , 't would fall to dust again.","The world exists because civilized men exist. Without them, it would collapse into mere dust.","The (way of the) world subsists by contact with the good; if not, it would bury itself in the earth and perish.","The world goes on because of civilized men.
Without them it would collapse into dust."
"Of what avail is one’s intelligence keen as the edge of the chist^? One is with the socks and gloves if one is not affable.","Men without character, despite their sharp
minds, Are no better than blocks of wood.","But for humanity, they are but a tree, Though sharp as a rasp they may be.","Arampolum Koormaiya Renum
Marampolvar
Makkatpanpu Illaa Thavar","The mannerless though sharp like file 
Are like wooden blocks indocile.","Though sharp their wit as file, as blocks they must remain,
Whose souls are void of 'courtesy humane'.","He who is destitute of (true) human qualities (only) resembles a tree, though he may possess the sharpness of a file.","Though their minds are as sharp as a wood rasp, men without human decency are as wooden as a tree.","Men without character, despite their sharp minds,
Are no better than blocks of wood."
"To be failing in one’s courtesy even to one’s foe is sin.","It is disgraceful to be discourteous, Even
towards the unfriendly who treat you unjustly.","Even with those, hostile, and callously act, Behaving ungraciously is a blot.","Nanpaatraar Aaki Nayamila
Seyvaarkkum
Panpaatraar Aadhal Katai","It is wrong (for the wise) not to exhibit (good) qualities even towards those who bearing no friendship (for them) do only what is hateful.","Discourtesy is mean indeed 
E'en to a base unfriendly breed.","Though men with all unfriendly acts and worngs assail,
'Tis uttermost disgrace in 'courtesy' to fail.","It is disgraceful to be discourteous towards others, even to unfriendly fellows who treat you unjustly.","It is disgraceful to be discourteous,
Even towards the unfriendly who treat you unjustly."
"To those who cannot laugh,
This big world is all darkness even during the day.","To those who cannot laugh, This big world
is all darkness even during the day.","For those with no faculty to have fun Darkness swamps the large earth despite the sun.","To those who cannot rejoice, the wide world is buried darkness even in (broad) day light.","Nakalvallar Allaarkku Maayiru
Gnaalam
Pakalumpaar Pattandru Irul","To those bereft of smiling light 
Even in day the earth is night.","To him who knows how to smile in kindly mirth,
Darkness in daytime broods o'er all the vast and mighty earth.","To those who cannot smile in joy, this wide world lies engulfed in darkness, even in broad daylight.","Even the wide world darkens at noon to the sullen who fails to gladden the hearts of men."
"The great wealth kept by the uncultured
Is clean milk gone sour in a can unclean.","The great wealth obtained by one who has no goodness will perish like pure milk spoilt by the impurity of the vessel.","The great wealth kept by the uncultured Is
clean milk gone sour in a can unclean.","Good milk spoiled by the vessel that is stained Is wealth in the hands of the uncultured.","Panpilaan Petra Perunjelvam Nanpaal
Kalandheemai Yaaldhirin Thatru","The wealth heaped by the churlish base
Is pure milk soured by impure vase.","Like sweet milk soured because in filthy vessel poured,
Is ample wealth in churlish man's unopened coffers stored.","Great wealth amassed by men who lack sweet courtesy is like good milk turned sour in an unclean vessel.","Of what' use is the wealth of the discourteous? It is like good milk spoilt by an unclean vessel."
"A miser makes of his pile of vast wealth,
No more use than a corpse.","He who does not enjoy the immense riches he has heaped up in his house, is (to be reckoned as) dead, (for) there is nothing achieved (by him).","A miser makes of his pile of vast wealth,
No more use than a corpse.","Wealth allover the house stashed but is not used Makes one impotent as if he is deceased.","Vaiththaanvaai Saandra Perumporul
Aqdhunnaan
Seththaan Seyakkitandhadhu Il","Dead is he with wealth in pile 
Unenjoyed, it is futile.","He who does not make use of his hoarded wealth is really dead, though aliye; for he cannot do anything great.","Who fills his house with ample store, enjoying none.
Is dead, Nought with the useless heap is done.","He who has amassed great wealth but does not enjoy it is reckoned as dead, like his unused heap."
"Believing wealth is everything, yet giving nothing,
The miser is ensnared in the misery of birth.","He who knows that wealth yields every pleasure and yet is so blind as to lead miserly life will be born a demon.","Believing wealth is everything, yet giving
nothing, The miser is ensnared in the misery of birth.","Wealth is all, thinking thus, clinging and being ungenerous, Is a delusion leading to a birth most inglorious.","Porulaanaam Ellaamendru Eeyaadhu
Ivarum
Marulaanaam Maanaap Pirappu","The birth of a ghost awaits a miser who thinks he gains everything by hoarding wealth.","The niggard miser thinks wealth is all 
He hoards, gives not is born devil.","Who giving nought, opines from wealth all blessings springs,
Degraded birth that doting miser's folly brings.","Believing wealth is everything, yet giving away nothing, the miser himself will be possessed by a miserable birth."
"The mere sight of men who lust after wealth, caring nothing for renown, is a burden to the Earth.","A burden to the earth are men bent on the acquisition of riches and not (true) fame.","Their very sight is a burden to earth
Who hoard wealth and not renown.","Their very sight is a burden to earth Who
hoard wealth and not renown.","They seek to gain wealth but not fame, being mean: The presence of such men is earth’s burden.","He who prefers mere accumulation of wealth to glory is a burden unto the earth.","Eettam Ivari Isaiventaa Aatavar
Thotram Nilakkup Porai","A burden he is to earth indeed
Who hoards without a worthy deed.","Who lust to heap up wealth, but glory hold not dear,
It burthens earth when on the stage of being they appear."
"Whom no one loves, when he shall pass away,
What doth he look to leave behind, I pray?","What could a man, unloved by even a single soul, imagine he might leave to posterity?","What will the miser who is not liked (by any one) regard as his own (in the world to come) ?","What legacy can one, who is loved by none,
Think of leaving behind?","What awaits one if one cannot win the affections of others?","What legacy can one, who is loved by none,
Think of leaving behind?","What’d he think is the legacy he’ll leave, He who has nobody’s love?","Echchamendru Enennung Kollo
Oruvaraal
Nachchap Pataaa Thavan","What legacy can he leave behind 
Who is for approach too unkind."
"Amid accumulated millions they are poor,
Who nothing give and nought enjoy of all they store.","Those who neither give (to others) nor enjoy (their property) are (truly) destitute, though possessing immense riches.","Amid millions heaped high, a man remains poor if he neither gives away his wealth nor enjoys it himself.","Wealth, though millions manifold, amounts to nothing
If one neither gives nor enjoys it.","Of what avail is the untold wealth of one who neither gives nor enjoys it?","Wealth, though millions manifold, amounts
to nothing If one neither gives nor enjoys it.","Many crores one may make, but it means nothing If one is neither spending nor giving.","Kotuppadhooum Thuyppadhooum Illaarkku
Atukkiya
Kotiyun Taayinum Il","What is the good of crores they hoard 
To give and enjoy whose heart is hard."
"He who enjoys not (his riches) nor relieves the wants of the worthy is a disease to his wealth.","Great wealth unused for oneself nor 
To worthy men is but a slur.","Their ample wealth is misery to men of churlish heart,
Who nought themseleves enjoy, and nought to worthy men inpart.","Vast wealth can be a wretched curse to one who neither gladdens himself in its worth nor gives to the worthy.","Riches are a curse when neither enjoyed,
Nor given to the worthy.","Abundance of wealth is not a blessing but a curse to one who can neither enjoy it nor spend it on the deserving.","Riches are a curse when neither enjoyed,
Nor given to the worthy.","Wealth is a malady, when oneself it doesn’t serve And to the deserving, one isn’t disposed to give.","Edham Perunjelvam Thaandhuvvaan
Thakkaarkkondru
Eedhal Iyalpilaa Thaan"
"Who loaths to help have nots, his gold 
Is like a spinster belle grown old.","Like woman fair in lonelihood who aged grows,
Is wealth of him on needy men who nought bestows.","The wealth of a greedy man who gives nothing to the needy is like the beauty of a maiden growing old unwed.","The wealth that is not spent on the needy is as barren as the withering charm of a spinster.","Wealth not given to the needy goes waste
Like a lovely spinster growing old.","Wealth not given to the needy goes waste
Like a lovely spinster growing old.","A maiden of bounteous merit, being single, if greyed: Such is wealth that is not used to aid the deprived.","The wealth of him who never bestows anything on the destitute is like a woman of beauty growing old without a husband.","Atraarkkondru Aatraadhaan Selvam
Mikanalam
Petraal Thamiyalmooth Thatru"
"Nachchap Pataadhavan Selvam
Natuvoorul
Nachchu Marampazhuth Thatru","The idle wealth of unsought men
Is poison fruit tree amidst a town.","When he whom no man loves exults in great prosperity,
'Tis as when fruits in midmost of the town some poisonous tree.","The wealth of a man whom no heart loves is like fruits on a poisonous tree in the heart of a village.","The wealth of a miser is like the fruit of a poison-tree in the heart of a village.","The wealth of the unloved is like a poisonous tree
That ripens in the heart of a village.","The wealth of him who is disliked (by all) is like the fruit-bearing of the etty tree in the midst of a town.","The wealth of the unloved is like a
poisonous tree That ripens in the heart of a village.","Wealth of a person, who is loved by none, Is a toxic fruit tree in the middle of a town."
"Devoid of love and denying oneself, Wealth gained with no scruples, others shall seize.","Anporeeith Tharsetru Aranokkaadhu
Eettiya
Onporul Kolvaar Pirar","Others usurp the shining gold 
In loveless, stingy, vicious hold.","Strangers inherit the great wealth of a miser who neither enjoys it nor gives.","Who love abandon, self afflict, and virtu's way forsake
To heap up glittering wealth, their hoards shall others take.","He who casts out love and dharma and chooses self denial so wealth can pile high will see it seized by strangers.","Strangers shall possess that wealth
Amassed without love, comfort or scruples.","Strangers will inherit the riches that have been acquired without regard for friendship, comfort and charity.","Strangers shall possess that wealth
Amassed without love, comfort or scruples."
"The brief want of the benign rich Is like
the monsoon clouds just shed its moisture.","When the famed wealthy go through poverty They resemble clouds that lost their bounty.","Seerutaich Chelvar Sirudhuni Maari
Varangoorn Thanaiyadhu Utaiththu","The short-lived poverty of the generous rich is the drought of rain-laden clouds.","The brief want of the rich benign 
Is like rainclouds growing thin.","Tis as when rain cloud in the heaven grows dry,
When generous wealthy man endures brief poverty.","The short lived poverty of a benevolent rich man is like the temporary dryness of a bountiful rain cloud.","The brief want of the benign rich
Is like the monsoon clouds just shed its moisture.","The short-lived poverty of those who are noble and rich is like the clouds becoming poor (for a while)."
"Real shyness is to shy away from shameful
acts. The rest are like shyness of pretty women.","Compunction is having scruples about one’s action Distinct from demureness of pretty-browed fine women.","True modesty shrinks from littleness. All other forms of modesty are womanish.","Karumaththaal Naanudhal Naanun
Thirunudhal
Nallavar Naanup Pira","To shrink from evil deed is shame 
The rest is blush of fair faced dame.","To shrink abashed from evil deed is 'generous shame';
Other is that of bright browed ones of virtuous fame.","For fair faced maidens, modesty means bashfulness, but the deeper modesty shies away from shameful karmas.","True modesty is the fear of (evil) deeds; all other modesty is (simply) the bashfulness of virtuous maids.","Real shyness is to shy away from shameful acts.
The rest are like shyness of pretty women."
"Common to all human beings are food and clothing and other necessaries of life. But what distinguishes them is modesty.","Food, clothing and the rest are common to
all. Distinction comes from sensitivity to shame.","Needs of food, dress et al are not dissimilar for all Compunction is the distinctive feature of good people.","Oonutai Echcham Uyirkkellaam Veralla
Naanutaimai Maandhar Sirappu","Food, dress and such are one for all 
Modesty marks the higher soul.","Food, clothing and other things alike all beings own;
By sense of shame the excellence of men is known.","Food, clothing and such do not differ much among people; what distinguishes good men from others is modesty.","Food, clothing and the like are common to all men but modesty is peculiar to the good.","Food, clothing and the rest are common to all.
Distinction comes from sensitivity to shame."
"Man clings to his body. The noble clings to modesty.","All souls abide in the body And the
goodness called modesty in perfection.","Food is the basis for all lives, the goodness Of compunction is the basis for nobleness.","Oonaik Kuriththa Uyirellaam
Naanennum
Nanmai Kuriththadhu Saalpu","All lives have their lodge in flesh 
Perfection has its home in blush.","All spirits homes of flesh as habitation claim,
And perfect virtue ever dwells with shame.","As the body is the abode of the spirit, so the excellence of modesty is the abode of perfection.","All life clings to a body; perfect goodness clings to all that is modest.","All souls abide in the body
And the goodness called modesty in perfection."
"Disgraceful is the painted pomp of the life of the immodest.","Is not modesty the jewel of the great, And
without it a curse for their pride and demeanor?","For the noble, having compunction is an adornment; Without it, ain’t their proud stride an ailment?","Aniandro Naanutaimai Saandrorkku
Aqdhindrel
Piniandro Peetu Natai","Is not the modesty ornament of the noble ? Without it, their haughtiness would be a pain (to others).","Shame is the jewel of dignity 
Shameless swagger is vanity.","And is not shame an ornament to men of dignity?
Without it step of stately pride is piteous thing to see.","Is not modesty a jewel adorning perfect men? Without it, is not their strut an awful blemish to behold?","Is not modesty the jewel of the great,
And without it a curse for their pride and demeanor?"
"To the world, the sense of shame resides in them
Who blush for their and others’ blame.","To the world, the sense of shame resides
in them Who blush for their and others’ blame.","If blame for others and self, moves one to the same sense of shame The world shall call them the home for compunction.","The world regards as the abode of modesty him who fear his own and other's guilt.","Pirarpazhiyum Thampazhiyum Naanuvaar
Naanukku
Uraipadhi Ennum Ulaku","In them resides the sense of shame 
Who blush for their and other's blame.","As home of virtuous shame by all the world the men are known,
Who feel ashamed for others, guilt as for their own.","The world decrees that men who are as ashamed by others’ disgrace as by their own are modesty’s fondest home.","The world finds the very abode of modesty in one who dreads one’s infamy and that of others."
"The great would rather defend with modesty's barricade
Than breach it to acquire the vast world.","The great make modesty their barrier (of defence) and not the wide world.","The great would rather defend with
modesty's barricade Than breach it to acquire the vast
world.","Great men desire not the vast world under their reign Without the protective fence of compunction.","Naanveli Kollaadhu Manno
Viyangnaalam
Penalar Melaa Yavar","The great refuse the wonder world 
Without modesty's hedge and shield.","Unless the hedge of shame inviolate remain,
For men of lofty soul the earth's vast realms no charms retain.","The great would rather hold themselves behind modesty’s barricade than breach it to acquire the vast world.","The great prefer modesty to the riches of the world."
"Men of honour give up life for honour’s sake,
But never abandon honour to save life.","The modest would rather lose their life for the sake of modesty than lose modesty for the sake of life.","Men of honour give up life for honour’s
sake, But never abandon honour to save life.","Their lives they may shed but never their scruples to save their lives They who by their scruples ever abide.","Naanaal Uyiraith Thurappar
Uyirpporuttaal
Naandhuravaar Naanaal Pavar","For shame their life the shame sensed give 
Loss of shame they won't outlive.","Better retain modesty than cling to life. The noble would rather die than lose modesty.","The men of modest soul for shame would life an offering make,
But ne'er abandon virtuous shame for life's dear sake.","Those who prize unpretentiousness will forsake life to preserve it. But they never forsake modesty for the sake of life."
"Virtue will shy away from one who does not shy away
From what others shy from.","Virtue is likely to forsake him who shamelessly does what others are ashamed of.","Virtue will shy away from one who does not
shy away From what others shy from.","If what shames others doesn’t raise in him a qualm Virtue’ll flee him feeling that shame.","Pirarnaanath Thakkadhu Thaannaanaa
Naayin
Aramnaanath Thakkadhu Utaiththu","One who does not shrink from what others blush at knows no righteousness.","Virtue is much ashamed of him 
Who shameless does what others shame.","Though know'st no shame, while all around ashamed must be;
Virtue will shrink away ashamed of thee!","If a man does not feel ashamed of what makes others feel ashamed, virtue itself will be ashamed of him."
"Failing to observe good conduct, one sets his family on fire. Living in shamelessness, he incinerates everything good.","Want of manners injures one's family; but want of modesty injures one's character.","Lapse in manners injures the family,
But every good is lost by lack of shame.","Lapse in manners injures the family, But
every good is lost by lack of shame.","The family is hurt if one breaches convention All good is spoilt if there is lack of compunction.","Lack of decorum disgraces a home; lack of modesty destroys everything good.","Kulanjutum Kolkai Pizhaippin
Nalanjutum
Naaninmai Nindrak Katai","Lapse in manners injures the race 
Want of shame harms every good grace.","Twill race consume if right observance fail;
'Twill every good consume if shamelessness prevail."
"Tis as with strings a wooden puppet apes life's functions, when
Those void of shame within hold intercourse with men.","The movements of men devoid of modesty mock life, like wooden puppets suspended on a string.","The actions of those who are without modesty at heart are like those of puppet moved by a string.","The moves of those devoid of conscience
Are like those of puppets moved by a string.","The activity of those lacking in modesty is like that of a marionette.","The moves of those devoid of conscience
Are like those of puppets moved by a string.","The actions of those who, deep within, have no compunction Is akin to a stringed puppet seeming alive, an illusion.","Naanakath Thillaar Iyakkam
Marappaavai
Naanaal Uyirmarutti Atru","Movements of the shameless in heart 
Are string led puppet show in fact."
"Who says 'I'll do my work, nor slack my hand',
His greatness, clothed with dignity supreme, shall stand.","There is no higher greatness than that of one saying. I will not cease in my effort (to raise my family).","No greater dignity exists than when a man resolutely declares, “I will never cease in laboring to fulfill my karmas.”","There is nothing more glorious than to persist
In the advance of the community.","Nothing is more exalted and manly than one’s ceaseless toil to uplift one’s own family.","There is nothing more glorious than to
persist In the advance of the community.","To proclaim, I shall never take my hands off to do one’s duty No acclaim can match that dignity.","Karumam Seyaoruvan Kaidhooven Ennum
Perumaiyin Peetutaiyadhu Il","No greatness is grander like 
Saying ""I shall work without slack""."
"One's family is raised by untiring perseverance in both effort and wise contrivances.","These two exalt a noble home 
Ardent effort and ripe wisdom.","The manly act and knowledge full, when these combine
In deed prolonged, then lengthens out the race's line","One prolongs his clan by prolonged exertion in both perseverance and sound understanding.","Manly exertion and sound knowledge:
A community progresses with these two.","Manly effort and ripe wisdom exalt one’s family.","Manly exertion and sound knowledge: A
community progresses with these two.","Tasks one takes on with persistence and profound wisdom. The people shall prosper through them.","Aalvinaiyum Aandra Arivum Enairantin
Neelvinaiyaal Neelum Kuti"
"When one resolves to raise his race 
Loin girt up God leads his ways.","I'II make my race renowned', if man shall say,
With vest succinct the goddess leads the way.","When a man vows to advance his community, God Himself will wrap His robes and lead the way.","Even God girds up His loins in the service of one who strives for the glory of one’s family.","The Lord himself will wrap his robes
And lead the one bent on social service.","The Lord himself will wrap his robes And
lead the one bent on social service.","I’ll serve my people, for the one who so said God shall gird up his robes and rush to his aid.","The Deity will clothe itself and appear before him who resolves on raising his family.","Kutiseyval Ennum Oruvarkuth Theyvam
Matidhatruth Thaanmun Thurum"
"Soozhaamal Thaane Mutiveydhum
Thamkutiyaith
Thaazhaadhu Ugnatru Pavarkku","Who raise their races with ceaseless pain 
No need for plan; their ends will gain.","Who labours for his race with unremitting pain,
Without a thought, spontaneously, his end will gain.","When a man’s effort to raise his community high is unremitting, his work will prosper on its own, even if he makes no plans.","Success comes unbidden to one who exalts one’s family with unremitting toil.","Success will come by itself to the one
Who tirelessly strives for his society.","Those who are prompt in their efforts (to better their family) need no deliberation, such efforts will of themselves succee d.","Success will come by itself to the one Who
tirelessly strives for his society.","When for his kindred, one perseveres without respite: With no contriving, on its own, it’ll turn out right."
"Doing no wrong, the one who serves his kin. The world shall embrace as its own.","Kutram Ilanaaik Kutiseydhu
Vaazhvaanaich
Chutramaach Chutrum Ulaku","Who keeps his house without a blame
People around, his kinship claim.","The world becomes kin to one who leads an unblemished householder’s life.","With blameless life who seeks to build his race's fame,
The world shall circle him, and kindred claim.","The world will surround and befriend him who, without fault, lives to advance his community.","The world will flock round the one
Leading a blameless life doing social service.","People will eagerly seek the friendship of the prosperous soul who has raised his family without foul means.","The world will flock round the one Leading
a blameless life doing social service."
"True valour lies in raising the community
One is born into.","One will be known for his imposing command when He takes command of the house where he was born.","Nallaanmai Enpadhu Oruvarkuth
Thaanpirandha
Illaanmai Aakkik Kolal","What is true manliness except perfect ordering of the house for its own glory?","Who raise their race which gave them birth
Are deemed as men of manly worth.","Of virtuous manliness the world accords the praise
To him who gives his powers, the house from which he sprang to raise.","It is said that true manliness consists in becoming head and provider of the clan one was born into.","True valour lies in raising the community
One is born into.","A man's true manliness consists in making himself the head and benefactor of his family."
"As in the battlefield, the burden of
social work Also falls on the capable.","Like the bravehearts do on a battlefield The ablest takes charge of the household.","The brunt of the battle falls on the victorious; the burden of the family on the competent few.","Amarakaththu Vankannar Polath
Thamarakaththum
Aatruvaar Metre Porai","Like dauntless heroes in battle field 
The home burden rests on the bold.","The fearless hero bears the brunt amid the warrior throng;
Amid his kindred so the burthen rests upon the strong.","As on a battlefield the burden falls upon the brave, in the community weight is carried by the most competent.","Like heroes in the battle-field, the burden (of protection etc.) is borne by those who are the most efficient in a family.","As in the battlefield, the burden of social work
Also falls on the capable."
"To pure householders there is no cessation of work. One’s false prestige leads to the ruin of one’s family.","There is no set time for social service.
To put off is to ruin repute.","To serve one’s people look not for the ripe hour Being lethargic and ego-centric makes all suffer.","Kutiseyvaark Killai Paruvam
Matiseydhu
Maanang Karudhak Ketum","No season have they who raise their race 
Sloth and pride will honour efface.","Wait for no season, when you would your house uprear;
 'Twill perish, if you wait supine, or hold your honour dear.","Those seeking to improve their clan await no season, for delays and undue regard for dignity will destroy it.","As a family suffers by (one's) indolence and false dignity there is to be so season (good or bad) to those who strive to raise their family.","There is no set time for social service.
To put off is to ruin repute."
"Is he who protects his family from the ills of life a mere vessel of suffering?","Is the body that protects one’s family
against hurdles A receptacle for hardships alone?","Is his body the bin for all stress Who shields his kin from distress?","Itumpaikke Kolkalam Kollo
Kutumpaththaik
Kutra Maraippaan Utampu","Is not his frame a vase for woes 
Who from mishaps shields his house?","Is not his body vase that various sorrows fill,
Who would his household screen from every ill?","Is it only to suffering that his body is exposed who undertakes to preserve his family from evil ?","When a man shields his family from every suffering, doesn’t his body become a vessel filled with their afflictions?","Is the body that protects one’s family against hurdles
A receptacle for hardships alone?"
"The axe of adversity falls on the family which has no noble son to shield it.","Society will crash axed by misfortune
Without good men to support it.","The people who have not a good man to lean on Shall fall with their base shorn by some affliction.","Itukkankaal Kondrita Veezhum
Atuththoondrum
Nallaal Ilaadha Kuti","If there are none to prop up and maintain a family (in distress), it will fall at the stroke of the axe of misfortune.","A house will fall by a mishap 
With no good man to prop it up.","When trouble the foundation saps the house must fall,
If no strong hand be nigh to prop the tottering wall.","Without good men to hold it up, the family home will fall the moment misfortune’s axe comes down.","Society will crash axed by misfortune
Without good men to support it."
"Wherever it whirls, the world must follow the farmer.
Thus despite hardships, farming is the best.","Wherever it whirls, the world must follow
the farmer. Thus despite hardships, farming is the
best.","The world tails the plough despite other pursuit Even if one toils, farming remains foremost.","Agriculture, though laborious, is the most excellent (form of labour); for people, though they go about (in search of various employments), have at last to resort to the farmer.","Suzhandrumerp Pinnadhu Ulakam
Adhanaal
Uzhandhum Uzhave Thalai","Farming though hard is foremost trade 
Men ply at will but ploughmen lead.","Howe'er they roam, the world must follow still the plougher's team;
Though toilsome, culture of the ground as noblest toil esteem.","Wherever it may wander, the world follows the farmer’s plow. Thus despite all its hardships, farming is the foremost occupation.","After vain wanderings in search of callings the world returned to the plough."
"Farmers are the linchpin of the world
For they support all others who cannot till.","Agriculturists are (as it were) the linch-pin of the world for they support all other workers who cannot till the soil.","Farmers are the linchpin of the world For
they support all others who cannot till.","Farmers are the linchpin of the world All others not farming, it does hold.","Uzhuvaar Ulakaththaarkku Aaniaq
Thaatraadhu
Ezhuvaarai Ellaam Poruththu","Tillers are linch pin of mankind 
Bearing the rest who cannot tend.","The ploughers are the linch pin of the world; they bear
Them up who other works perform, too weak its toils to share.","Farmers are the linchpin of the world, for they support all who take up other work, not having the strength to plow.","Husbandmen are the sheet-anchor of the world for on them depend lives of others."
"They only live who live by the plough.
The rest must stoop and trail behind.","They alone live who live by agriculture; all others lead a cringing, dependent life.","They only live who live by the plough. The
rest must stoop and trail behind.","Only they live, who eat from what they plough Others follow, and to eat, they kowtow.","Uzhudhuntu Vaazhvaare Vaazhvaarmar
Rellaam
Thozhudhuntu Pinsel Pavar","They live who live to plough and eat 
The rest behind them bow and eat.","Only the husbandmen live; all others subsist on their toil.","Who ploughing eat their food, they truly live;
The rest to others bend subservient, eating what they give.","Those who live by the plow live in self sufficiency. All others lean on them to simply subsist."
"The reign of many kingdoms comes under
The reign of those with abundant grain.","Patriotic farmers desire to bring all other states under the control of their own king.","The reign of many kingdoms comes under The
reign of those with abundant grain.","Who bring their land under their crops’ shade Many states under their king’s reign shall bade.","Palakutai Neezhalum Thangutaikkeezhk
Kaanpar
Alakutai Neezha Lavar","It is the husbandmen that bring the might of the kings under the sway of their own sovereign.","Who have the shade of cornful crest 
Under their umbra umbrellas rest.","O'er many a land they'll see their monarch reign,
Whose fields are shaded by the waving grain.","Those whose fields lie shaded by abundant sheaves of grain will see many nations overshadowed by their own."
"Those who eat food harvested with their own hands will never beg and never refuse a beggar’s outstretched palm.","Those whose nature is to live by manual labour will never beg but give something to those who beg.","Those who eat what their hands produce
Neither beg nor refuse a beggar.","Those who eat what their hands produce
Neither beg nor refuse a beggar.","They never beg, nor deny others, givin’ what they seek Whose nature is to eat what they till and make.","A toiling peasant never begs but gives.","Iravaar Irappaarkkondru Eevar
Karavaadhu
Kaiseydhoon Maalai Yavar","Who till and eat, beg not; nought hide
But give to those who are in need.","They nothing ask from others, but to askers give,
Who raise with thier own hands the food on which they live."
"For those who've left what all men love no place is found,
When they with folded hands remain who till the ground.","When plowers of the fields stand idly with folded arms, even desireless ascetics will not last long.","If the farmer's hands are slackened, even the ascetic state will fail.","Even the desire-free hermits will lose their state
If ploughmen fold their hands.","Even the anchorite ceases from penance if husbandmen sit with their hands folded.","Even the desire-free hermits will lose
their state If ploughmen fold their hands.","If tillers fold their hands still, sages who say I’ve given up desire, as such cannot stay.","Uzhavinaar Kaimmatangin Illai
Vizhaivadhooum
Vittemen Paarkkum Nilai","Should ploughmen sit folding their hands 
Desire free monks too suffer wants."
"Reduce your soil to that dry state 
When ounce is quarter ounce's weight;Without one handful of manure, Abundant crops you thus secure.","If the land is dried so as to reduce one ounce of earth to a quarter, it will grow plentifully even without a handful of manure.","If soil is dried so that one ounce shrinks to one quarter ounce, fruitful yields will not require a single handful of fertilizer.","If ploughed and dried to quarter its size,
The soil yields plenty sans even handful manure.","Let the land be allowed to dry with dust. Even a handful of manure is not needed for a good harvest.","If ploughed and dried to quarter its size,
The soil yields plenty sans even handful manure.","If one measure of soil, is turned fine and dried to a quarter, Good yield needs not a handful of manure.","Thotippuzhudhi Kaqsaa Unakkin
Pitiththeruvum
Ventaadhu Saalap Patum","Moulds dried to quarter dust ensure
Rich crops without handful manure."
